"id","label","obsolete"
"all.rights.reserved","label.directories.dam_licence.all.rights.reserved","0"
"public.domain","label.directories.dam_licence.public.domain","0"
"creative.commons.attribution","label.directories.dam_licence.creative.commons.attribution","0"
"creative.commons.attribution.share.alike","label.directories.dam_licence.creative.commons.attribution.share.alike","0"
"creative.commons.attribution.no.derivatives","label.directories.dam_licence.creative.commons.attribution.no.derivatives","0"
"creative.commons.attribution.non.commercial","label.directories.dam_licence.creative.commons.attribution.non.commercial","0"
"creative.commons.attribution.non.commercial.share.alike","label.directories.dam_licence.creative.commons.attribution.non.commercial.share.alike","0"
"creative.commons.attribution.non.commercial.no.derivatives","label.directories.dam_licence.creative.commons.attribution.non.commercial.no.derivatives","0"
