id, label, obsolete
"ar","label.directories.arabic","0"
"de","label.directories.german","0"
"en","label.directories.english","0"
"es","label.directories.spanish","0"
"fr","label.directories.french","0"
"it","label.directories.italian","0"
"ja","label.directories.japanese","0"
"pt","label.directories.portuguese","0"
"ru","label.directories.russian","0"
"sp","label.directories.spanish","1"
"zh","label.directories.chinese","0"
